[INFO] [1777356219.041134432] [netlab_swarm_bridge]: NETLAB swarm bridge started
[INFO] [1777356219.041565457] [netlab_swarm_bridge]: Sionna URL: http://127.0.0.1:8090/link
[INFO] [1777356219.249166932] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356221.425928873] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356223.425999366] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356225.625999653] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356227.626120237] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356229.826131934] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356232.026162301] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356234.225882154] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356236.425824249] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356238.625758134] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356240.626047059] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356242.626153171] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356244.825895084] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356247.025981470] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356249.225903854] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356251.226015517] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
